productline;quantité;shippeddate;année;mois
"Vintage Cars";373;2019-07-24;2019;7
"Classic Cars";454;2019-08-16;2019;8
"Trucks and Buses";370;2019-08-16;2019;8
"Vintage Cars";356;2019-08-16;2019;8
Trains;119;2019-08-15;2019;8
Ships;230;2019-08-26;2019;8
Planes;460;2019-09-04;2019;9
Ships;71;2019-09-04;2019;9
"Vintage Cars";144;2019-09-04;2019;9
Motorcycles;399;2019-09-09;2019;9
"Classic Cars";603;2019-09-19;2019;9
"Classic Cars";745;2019-10-01;2019;10
"Vintage Cars";612;2019-10-01;2019;10
"Trucks and Buses";372;2019-10-08;2019;10
Trains;69;2019-10-25;2019;10
Ships;174;2019-10-29;2019;10
Ships;149;2019-11-07;2019;11
"Classic Cars";525;2019-11-13;2019;11
Planes;401;2019-11-13;2019;11
"Vintage Cars";195;2019-11-13;2019;11
Motorcycles;463;2019-11-12;2019;11
"Classic Cars";793;2019-12-03;2019;12
"Vintage Cars";759;2019-12-06;2019;12
"Trucks and Buses";408;2019-12-14;2019;12
Trains;116;2019-12-18;2019;12
Ships;257;2019-12-23;2019;12
Ships;62;2020-01-02;2020;1
"Vintage Cars";362;2020-01-02;2020;1
Planes;416;2020-01-02;2020;1
Motorcycles;431;2020-01-14;2020;1
"Classic Cars";862;2020-01-14;2020;1
"Vintage Cars";559;2020-02-01;2020;2
"Classic Cars";438;2020-02-10;2020;2
"Trucks and Buses";393;2020-02-10;2020;2
Trains;106;2020-02-24;2020;2
Ships;318;2020-02-24;2020;2
Planes;248;2020-02-23;2020;2
Motorcycles;487;2020-03-13;2020;3
Planes;123;2020-03-13;2020;3
"Classic Cars";766;2020-03-19;2020;3
"Vintage Cars";401;2020-03-28;2020;3
"Classic Cars";1637;2020-04-03;2020;4
"Trucks and Buses";410;2020-04-03;2020;4
"Vintage Cars";446;2020-04-03;2020;4
Trains;93;2020-04-13;2020;4
Ships;346;2020-04-15;2020;4
Planes;448;2020-04-19;2020;4
Motorcycles;425;2020-04-26;2020;4
"Classic Cars";2640;2020-05-02;2020;5
"Vintage Cars";2240;2020-05-01;2020;5
"Trucks and Buses";740;2020-05-05;2020;5
"Classic Cars";1271;2020-07-08;2020;7
"Trucks and Buses";253;2020-07-08;2020;7
Trains;210;2020-07-08;2020;7
Ships;405;2020-05-09;2020;5
"Classic Cars";276;NULL;NULL;NULL
Planes;415;NULL;NULL;NULL
Ships;661;NULL;NULL;NULL
"Vintage Cars";492;NULL;NULL;NULL
Motorcycles;886;2020-05-14;2020;5
Planes;1135;2020-05-14;2020;5
Trains;89;2020-05-25;2020;5
"Trucks and Buses";1110;2020-06-02;2020;6
"Classic Cars";2970;2020-06-02;2020;6
Trains;276;2020-06-02;2020;6
"Vintage Cars";1351;2020-06-02;2020;6
Ships;545;2020-06-02;2020;6
Motorcycles;940;2020-06-06;2020;6
Planes;498;2020-06-06;2020;6
"Vintage Cars";167;2020-07-17;2020;7
Ships;332;2020-07-17;2020;7
Planes;91;2020-07-25;2020;7
Motorcycles;173;2020-08-02;2020;8
Planes;322;2020-08-02;2020;8
"Vintage Cars";676;2020-08-02;2020;8
Motorcycles;287;2020-07-31;2020;7
"Classic Cars";466;2020-08-09;2020;8
"Trucks and Buses";392;2020-08-14;2020;8
Trains;50;2020-08-29;2020;8
"Vintage Cars";831;2020-09-01;2020;9
Trains;23;2020-09-01;2020;9
Ships;319;2020-09-01;2020;9
"Classic Cars";1110;2020-09-02;2020;9
Planes;424;2020-09-02;2020;9
Motorcycles;493;2020-09-06;2020;9
"Trucks and Buses";314;2020-09-24;2020;9
"Classic Cars";1063;2020-10-01;2020;10
Trains;137;2020-10-01;2020;10
"Trucks and Buses";34;2020-10-01;2020;10
"Vintage Cars";371;2020-10-06;2020;10
Ships;321;2020-10-06;2020;10
Planes;408;2020-10-14;2020;10
Motorcycles;361;2020-10-18;2020;10
"Classic Cars";580;2020-11-01;2020;11
"Vintage Cars";629;2020-11-06;2020;11
"Trucks and Buses";353;2020-11-20;2020;11
Trains;89;2020-11-19;2020;11
Trains;119;NULL;NULL;NULL
Planes;424;2020-11-22;2020;11
Ships;40;2020-11-22;2020;11
Motorcycles;63;2020-11-26;2020;11
Motorcycles;473;2020-12-05;2020;12
"Classic Cars";947;2020-12-10;2020;12
"Vintage Cars";550;2020-12-16;2020;12
"Classic Cars";1004;2021-01-04;2021;1
"Trucks and Buses";102;2021-01-04;2021;1
"Vintage Cars";545;2021-01-04;2021;1
"Trucks and Buses";312;2020-12-29;2020;12
Ships;218;2021-01-03;2021;1
Motorcycles;493;2021-01-13;2021;1
Planes;104;2021-01-13;2021;1
"Classic Cars";1331;2021-02-04;2021;2
"Trucks and Buses";380;2021-02-04;2021;2
"Vintage Cars";401;2021-02-04;2021;2
Trains;135;2021-02-02;2021;2
Ships;267;2021-02-02;2021;2
Planes;434;2021-02-02;2021;2
Motorcycles;422;2021-02-09;2021;2
"Classic Cars";1702;2021-03-02;2021;3
"Trucks and Buses";766;2021-03-02;2021;3
"Vintage Cars";1614;2021-03-02;2021;3
Trains;197;2021-03-05;2021;3
Ships;597;2021-03-05;2021;3
Planes;629;2021-03-06;2021;3
Motorcycles;467;2021-03-14;2021;3
Planes;115;2021-04-04;2021;4
Motorcycles;430;2021-04-04;2021;4
"Vintage Cars";586;2021-04-04;2021;4
"Classic Cars";507;2021-04-14;2021;4
"Trucks and Buses";392;2021-04-30;2021;4
Trains;120;2021-04-30;2021;4
Ships;257;2021-04-30;2021;4
"Classic Cars";3007;2021-05-03;2021;5
Planes;919;2021-05-03;2021;5
Ships;649;2021-05-03;2021;5
"Vintage Cars";1653;2021-05-03;2021;5
Motorcycles;1181;2021-05-03;2021;5
"Trucks and Buses";833;2021-05-06;2021;5
Trains;200;2021-05-06;2021;5
"Vintage Cars";2181;2021-06-01;2021;6
Planes;1234;2021-06-01;2021;6
Ships;649;2021-06-01;2021;6
"Classic Cars";2989;2021-06-04;2021;6
Motorcycles;1087;2021-06-04;2021;6
"Trucks and Buses";893;2021-06-03;2021;6
"Trucks and Buses";171;NULL;NULL;NULL
Trains;185;2021-06-07;2021;6
"Classic Cars";904;2021-07-01;2021;7
"Trucks and Buses";82;2021-07-01;2021;7
Trains;76;2021-07-01;2021;7
Planes;405;2021-07-01;2021;7
Ships;286;2021-07-01;2021;7
"Vintage Cars";518;2021-07-01;2021;7
Motorcycles;423;2021-07-03;2021;7
"Classic Cars";1287;2021-08-07;2021;8
"Vintage Cars";698;2021-08-07;2021;8
"Trucks and Buses";337;2021-08-08;2021;8
Trains;79;2021-08-08;2021;8
Ships;320;2021-08-11;2021;8
Planes;445;2021-08-20;2021;8
Motorcycles;429;2021-08-17;2021;8
"Vintage Cars";1138;2021-09-01;2021;9
"Classic Cars";1515;2021-09-01;2021;9
"Trucks and Buses";706;2021-09-01;2021;9
Trains;138;2021-09-08;2021;9
Ships;323;2021-09-10;2021;9
Planes;468;2021-09-17;2021;9
Motorcycles;513;2021-09-17;2021;9
"Classic Cars";98;2021-10-04;2021;10
"Trucks and Buses";46;2021-10-04;2021;10
Trains;69;2021-10-04;2021;10
"Vintage Cars";292;2021-10-06;2021;10
Ships;324;2021-10-06;2021;10
Planes;415;2021-10-06;2021;10
